group,file,k,inertia_xyz,inertia_lab,inertia_lab_xy,silhouette_xyz,silhouette_lab
outdoor,outdoor1.jpg,4,1114.519287109375,11366653.0,722.0350952148438,0.6194842457771301,0.5930342078208923
outdoor,outdoor2.jpg,4,1153.550048828125,11017937.0,763.8204956054688,0.5503891110420227,0.515663743019104
multicolors,multicolors2.png,4,464.8766784667969,16679057.0,894.3718872070312,0.56187903881073,0.47686102986335754
multicolors,multicolors3.png,4,2666.795654296875,58857272.0,2109.224609375,0.4785817265510559,0.47646576166152954
shadow,shadow1.jpg,4,897.265380859375,18108958.0,827.5736083984375,0.6497434377670288,0.5829306840896606
shadow,shadow2.png,4,1357.9189453125,18480344.0,940.9647216796875,0.5290830731391907,0.5230237245559692
fruit,fruit1.png,4,1483.9765625,37763584.0,1439.72607421875,0.6523964405059814,0.6215211749076843
fruit,fruit2 (1).jpg,4,599.5979614257812,23607970.0,950.60302734375,0.49863821268081665,0.36353814601898193
