class,precision,recall,f1,support
6,1.0,0.9555555555555556,0.9772727272727273,45
8,0.9555555555555556,1.0,0.9772727272727273,43
9,0.9777777777777777,0.9777777777777777,0.9777777777777777,45
1,0.9583333333333334,1.0,0.9787234042553191,46
5,1.0,0.9782608695652174,0.989010989010989,46
3,1.0,0.9782608695652174,0.989010989010989,46
2,1.0,1.0,1.0,44
0,1.0,1.0,1.0,45
7,1.0,1.0,1.0,45
4,1.0,1.0,1.0,45
